2,7,115,1
2,7,176,1
2,14,176,1
2,20,114,1
2,20,171,1
2,41,150,1
2,42,114,1
2,56,116,1
2,56,176,1
2,81,169,1
2,81,175,1
2,112,147,1
2,113,169,1
2,114,155,1
2,114,173,1
2,129,89,1
2,129,97,1
2,129,169,1
2,133,114,1
2,133,115,1
2,133,116,1
2,163,76,1
2,163,150,1
2,168,117,1
2,172,152,1
2,176,172,1
2,183,139,1
2,197,75,1
3,7,54,1
3,7,95,1
3,7,96,1
3,7,104,1
3,7,106,1
3,7,113,1
3,7,127,1
3,7,136,1
3,7,146,1
3,7,164,1
3,7,165,1
3,7,200,1
3,13,164,1
3,13,165,1
3,14,153,1
3,16,200,1
3,20,104,1
3,27,95,1
3,27,96,1
3,27,146,1
3,27,157,1
3,27,164,1
3,27,165,1
3,34,104,1
3,38,96,1
3,38,102,1
3,38,127,1
3,38,136,1
3,38,146,1
3,38,164,1
3,38,165,1
3,40,96,1
3,40,100,1
3,40,136,1
3,40,146,1
3,40,164,1
3,40,165,1
3,42,187,1
3,42,197,1
3,47,187,1
3,47,197,1
3,49,187,1
3,51,162,1
3,52,127,1
3,52,136,1
3,52,146,1
3,52,164,1
3,52,165,1
3,57,113,1
3,64,22,1
3,64,33,1
3,64,54,1
3,64,77,1
3,66,127,1
3,68,187,1
3,68,197,1
3,69,95,1
3,69,96,1
3,69,127,1
3,69,146,1
3,69,165,1
3,76,187,1
3,76,197,1
3,81,104,1
3,91,95,1
3,91,96,1
3,101,2,1
3,101,22,1
3,101,33,1
3,101,54,1
3,102,197,1
3,119,22,1
3,119,54,1
3,119,80,1
3,123,187,1
3,123,197,1
3,125,22,1
3,125,54,1
3,125,77,1
3,125,162,1
3,133,187,1
3,133,197,1
3,141,22,1
3,153,187,1
3,153,197,1
3,154,127,1
3,154,136,1
3,154,146,1
3,167,187,1
3,167,197,1
3,182,198,1
3,183,197,1
3,188,170,1
3,193,51,1
3,193,54,1
3,203,187,1
3,203,197,1
4,58,183,1
4,58,184,1
7,3,50,1
7,14,84,1
7,15,63,1
7,15,137,1
7,26,23,1
7,26,63,1
7,40,46,1
7,43,123,1
7,81,123,1
7,103,190,1
7,103,191,1
7,151,31,1
7,165,85,1
7,168,88,1
7,173,13,1
8,48,32,1
8,48,39,1
8,48,59,1
8,48,60,1
8,72,32,1
8,72,39,1
8,72,158,1
8,73,24,1
8,73,83,1
8,73,179,1
8,83,134,1
8,109,83,1
8,109,179,1
8,126,39,1
8,132,24,1
8,166,39,1
8,166,57,1
8,184,174,1
9,16,48,1
9,16,66,1
9,35,45,1
9,35,47,1
9,35,68,1
9,54,4,1
9,62,65,1
9,84,47,1
9,84,103,1
9,120,69,1
9,126,48,1
9,126,53,1
9,161,11,1
9,185,5,1
9,185,73,1
9,199,6,1
9,202,67,1
11,93,74,1
11,145,74,1
11,180,78,1
11,196,78,1
13,9,1,1
13,16,1,1
13,23,126,1
13,39,79,1
13,39,126,1
13,52,160,1
